"","Names","Sums"
"1","15S-WB-05M-2",0
"2","15S-WB-05O-2",0
"3","15S-WB-08M-1",0
"4","15S-WB-07O-1",19
"5","Blank-1",20
"6","15S-WB-U03M-2",23
"7","Blank-22",86
"8","Blank-17",120
"9","Blank-13",167
"10","Blank-10",172
"11","Blank-4",259
"12","Blank-11",399
"13","Blank-16",825
"14","Blank-8",871
"15","15S-NT-50O-2",2724
"16","15S-WB-U03O-1",2968
"17","15S-NT-U07M-1",3268
"18","15S-WB-U05O-2",3797
"19","15S-NT-43O-1",4383
"20","15S-NT-39O-1",4907
"21","15S-NT-U09M-1",5534
"22","15S-NT-U06O-1",5812
"23","15S-WB-U04M-1",5934
"24","15S-NT-34M-1",6009
"25","15S-WB-U04M-2",6076
"26","15S-WB-09M-1-R",6116
"27","15S-NT-U08O-1",6145
"28","15S-NT-42O-2",6390
"29","15S-NT-50O-1",6452
"30","15S-NT-22M-2",6588
"31","15S-WB-U05M-2",6845
"32","15S-NT-49M-1",7005
"33","15S-NT-51O-2",7029
"34","15S-NT-44M-1",7082
"35","15S-WB-U01O-2",7117
"36","15S-NT-32O-1",7246
"37","15S-WB-U04O-2",7383
"38","15S-NT-42O-1",7454
"39","15S-WB-U02O-2",7472
"40","15S-WB-U03O-2",7658
"41","15S-NT-28M-2",7777
"42","15S-WB-U02O-1",7786
"43","15S-NT-43M-1",7830
"44","15S-NT-52O-1",7853
"45","15S-WB-U03M-1",8067
"46","15S-NT-32O-2",8121
"47","15S-NT-52O-2",8140
"48","15S-NT-20O-A-1",8197
"49","15S-WB-U05O-1",8248
"50","15S-NT-47M-2",8311
"51","15S-WB-U01M-2",8605
"52","15S-NT-33O-1",8617
"53","15S-NT-43O-2",8821
"54","15S-NT-24O-1",9010
"55","15S-NT-31O-B-1",9091
"56","15S-NT-31O-B-2",9419
"57","15S-NT-46M-2",9606
"58","15S-WB-U04O-1",9692
"59","15S-NT-48O-2",9713
"60","15S-NT-21O-1",9732
"61","15S-NT-U07O-2",9766
"62","15S-NT-34M-2",9791
"63","15S-NT-31M-2",9885
"64","15S-NT-36O-1",10205
"65","15S-NT-U12O-2",10285
"66","15S-NT-35O-1",10396
"67","15S-NT-51O-1",10413
"68","15S-NT-33M-2",10466
"69","15S-NT-21M-2",10529
"70","15S-NT-U07M-2",10588
"71","15S-NT-29O-2",10610
"72","15S-NT-40M-1",10640
"73","15S-NT-U09M-2",10859
"74","15S-NT-U07O-1",10911
"75","15S-NT-43M-2",10935
"76","15S-NT-U10M-1",10950
"77","15S-NT-33O-2",11021
"78","15S-NT-49O-1",11329
"79","15S-NT-30O-1",11498
"80","15S-NT-26O-2",11565
"81","15S-NT-49M-2",11645
"82","15S-NT-U10M-2",11680
"83","15S-NT-35O-2",11797
"84","15S-NT-47M-1",12070
"85","15S-NT-U11O-2",12295
"86","15S-NT-U08M-1",12511
"87","15S-WB-U01O-1",12533
"88","15S-NT-28O-2",12548
"89","15S-NT-23M-1",12573
"90","15S-NT-22M-1",12735
"91","15S-NT-31M-1",13074
"92","15S-NT-45O-2",13146
"93","15S-WB-U01M-1",13226
"94","15S-WB-10O-1",13245
"95","15S-NT-44O-1",13600
"96","15S-NT-38M-1",14115
"97","15S-WB-13O-2",14285
"98","15S-NT-23M-2",14314
"99","15S-WB-16O-2",14322
"100","15S-NT-U09O-1",14336
"101","15S-NT-21O-2",14379
"102","15S-NT-22O-2",14405
"103","15S-NT-U08M-2",14702
"104","15S-WB-10O-2",14727
"105","15S-NT-48O-1",14886
"106","15S-NT-39O-2",14890
"107","15S-NT-39M-2",14975
"108","15S-NT-29O-1",14979
"109","15S-WB-14O-1",15047
"110","15S-WB-09O-2-R",15169
"111","15S-NT-39M-1",15260
